address,annotate,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,journal,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,year,entrytype,tags,intrahash,citation,merged
 , ,C. M. Cook and H. J. Melosh and W. F. Bottke, , , , , , , ,Icarus, , , ,1, , , , , ,Doublet craters on Venus, ,165,2003,article,http://www.bibsonomy.org/api/tags/ATMOSPHERE;ATMOSPHERE;http://www.bibsonomy.org/api/tags/POPULATION;POPULATION;http://www.bibsonomy.org/api/tags/MAGELLAN;MAGELLAN;http://www.bibsonomy.org/api/tags/BREAKUPBREAKUPhttp://www.bibsonomy.org/api/tags/OBJECTOBJECThttp://www.bibsonomy.org/api/tags/BINARYBINARYhttp://www.bibsonomy.org/api/tags/ASTEROIDS;ASTEROIDS;http://www.bibsonomy.org/api/tags/DISRUPTION;DISRUPTION;http://www.bibsonomy.org/api/tags/EARTHEARTHhttp://www.bibsonomy.org/api/tags/CRATERS;CRATERS;http://www.bibsonomy.org/api/tags/IMPACTIMPACT,3d992b6ae7ea62e9961b1115f2061f38, , 
 , ,H. J. MELOSH and J. A. STANSBERRY, , , , , , , ,Icarus, , , ,1, , , , , ,DOUBLET CRATERS AND THE TIDAL DISRUPTION OF BINARY ASTEROIDS, ,94,1991,article,http://www.bibsonomy.org/api/tags/IMAGES;IMAGES;http://www.bibsonomy.org/api/tags/RADARRADARhttp://www.bibsonomy.org/api/tags/DYNAMICSDYNAMICS,5eb32f07b9818f59dc68d3c78bc87865, , 
 , ,Vaneet Aggarwal and Youjian Liu and Ashutosh Sabharwal, , , , , , , ,CoRR, , ,informal publication, , , , , , ,Sum-capacity of Interference Channels with a Local View: Impact of Distributed Decisions, ,abs/0910.3494,2009,article,http://www.bibsonomy.org/api/tags/dblpdblp,57c75539c3abf9fa63a32320ebad2826, , 
 , ,Dinesh Nair and Jake K. Aggarwal,ECCV (1), ,conf/eccv/1996-1, ,Bernard F. Buxton and Roberto Cipolla, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,A Focused Target Segmentation Paradigm., ,1064,1996,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,41bf40ed96ebaee18a1fc043fe34b83c, , 
 , ,Alpana Dubey and Pankaj Jalote and Sanjeev Kumar Aggarwal, , , , , , , ,IET Software, , , ,3, , , , , ,Learning context-free grammar rules from a set of program., ,2,2008,article,http://www.bibsonomy.org/api/tags/dblpdblp,8dad15085e972a3256ed344118efe2a3, , 
 , ,Charu C. Aggarwal and Alexander Hinneburg and Daniel A. Keim,ICDT, ,conf/icdt/2001, ,Jan Van den Bussche and Victor Vianu, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,On the Surprising Behavior of Distance Metrics in High Dimensional Spaces., ,1973,2001,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,f6c7ea1953ecfafefcce73260c2b5104, , 
 , ,Sudhanshu Aggarwal and Juan A. Garay and Amir Herzberg,ESA, ,conf/esa/1995, ,Paul G. Spirakis, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,Adaptive Video on Demand., ,979,1995,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,26ae23d846b28109d2ce803a8949595d, , 
 , ,A. K. Aggarwal, , , , , , , ,EG, , , ,2, , , , , ,A training model for e-readiness in e-governance., ,6,2009,article,http://www.bibsonomy.org/api/tags/dblpdblp,d49d7a8c7d175ddff90deec2fe1e906d, , 
 , ,George F. Georgakopoulos and David J. McClurkin,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,General Splay: A Basic Theory and Calculus., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,7dadbb6fad0185d4e69c3356b08740df, , 
 , ,Wun-Tat Chan and Francis Y. L. Chin and Hing-Fung Ting,ISAAC, ,conf/isaac/1999, ,Alok Aggarwal and C. Pandu Rangan, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,A Faster Algorithm for Finding Disjoint Paths in Grids., ,1741,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,ae79858e42607d7ca21c6d05e65a65b6, , 
